City_Id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Tromso,NO,2021-03-24 23:12:57,69.6496,18.957,37.4,87,75,25.32
261,Touros,BR,2021-03-24 23:12:58,-5.1989,-35.4608,80.6,78,75,6.91
262,Chuy,UY,2021-03-24 23:12:58,-33.6971,-53.4616,66.92,81,10,7.74
263,Paamiut,GL,2021-03-24 23:12:58,61.994,-49.6678,12.81,85,100,5.86
264,Banepa,NP,2021-03-24 23:12:58,27.6298,85.5214,53.6,66,20,3.44
265,Ketchikan,US,2021-03-24 23:08:49,55.3422,-131.6461,42.8,70,90,13.8
266,Chukhloma,RU,2021-03-24 23:12:59,58.7525,42.6825,33.06,97,100,9.17
267,Orlik,RU,2021-03-24 23:12:59,52.5178,99.825,24.31,92,99,3.83
268,Palmer,US,2021-03-24 23:12:59,42.1584,-72.3287,60.8,41,90,3.44
269,Alice Springs,AU,2021-03-24 23:13:00,-23.7,133.8833,66.2,88,5,6.62
270,Manta,EC,2021-03-24 23:13:00,-0.95,-80.7333,80.6,74,20,6.91
271,Ballina,AU,2021-03-24 23:13:00,-28.8667,153.5667,75.2,60,0,4.61
272,Xingyi,CN,2021-03-24 23:13:00,24.1877,102.817,49.12,90,1,2.77
273,Luwuk,ID,2021-03-24 23:13:00,-0.9516,122.7875,78.84,86,100,1.7
274,Potsdam,DE,2021-03-24 23:13:01,52.3989,13.0657,46.0,79,38,1.01
275,Trincomalee,LK,2021-03-24 23:13:01,8.5711,81.2335,81.66,77,95,10.27
276,San Quintin,MX,2021-03-24 23:13:01,30.4833,-115.95,60.28,65,0,10.07
277,Sao Domingos Do Maranhao,BR,2021-03-24 23:13:02,-5.5758,-44.3853,72.93,96,86,3.56
278,Lata,PT,2021-03-24 23:13:02,40.1629,-8.3327,46.99,84,38,3.0
279,Emerald,AU,2021-03-24 23:10:47,-23.5333,148.1667,81.0,57,0,8.05
280,Ust-Kuyga,RU,2021-03-24 23:13:02,70.0167,135.6,-19.1,97,100,4.41
281,Kailua,US,2021-03-24 23:13:02,21.4022,-157.7394,80.6,78,90,4.61
282,Airai,TL,2021-03-24 23:13:03,-8.9266,125.4092,64.22,86,44,0.87
283,Nouadhibou,MR,2021-03-24 23:13:03,20.931,-17.0347,64.4,94,0,13.8
284,Rocha,UY,2021-03-24 23:13:03,-34.4833,-54.3333,63.72,84,12,7.25
285,Half Moon Bay,US,2021-03-24 23:13:03,37.4636,-122.4286,66.2,82,1,12.66
286,Hammerfest,NO,2021-03-24 23:13:04,70.6634,23.6821,37.4,65,40,2.3
287,Aqtobe,KZ,2021-03-24 23:13:04,50.2797,57.2072,28.4,80,0,11.18
288,Tekeli,KZ,2021-03-24 23:13:04,44.83,78.8239,32.49,60,100,10.96
289,Shingu,JP,2021-03-24 23:13:04,33.7333,135.9833,53.6,87,75,5.75
290,Salalah,OM,2021-03-24 23:13:04,17.0151,54.0924,77.0,83,20,5.75
